MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
124,TC_033,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-15,1,TC_033_01,771015 1/2 Weber (head s 1-track 1 very poor),00:00-30:34,30:34:00,EK,,N,
125,TC_033,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-15,2,TC_033_02,771015 1/2 Weber (head s 1-track 1 very poor),00:00-09:47,09:36:00,EK,,N,
126,TC_034,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,1,TC_034_01,771020 1/2 Polidori-Conrad I Weber (Heintzman),00:01-12:56,12:54:00,EK talking 08:51 - 09:30,00:01-12:56,Y,
127,TC_034,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,3,TC_034_02,771020 1/2 Polidori-Conrad I Weber (Heintzman),00:00-29:25,29:25:00,EK,,N,
128,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,4,TC_035_01,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),00:00-13:03,13:02:00,EK,,N,
129,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,5,TC_035_01,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),13:04-30:53,17:51:00,EK,13:04-30:53,Y,
130,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,6,TC_035_02,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),00:00-26:10,26:01:00,EK,,N,
131,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,7,TC_035_02,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),26:26-30:52,04:27:00,EK,,N,
132,TC_036,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-21,1,TC_036_01,771021 1/2 Weber,00:00-30:36,30:37:00,EK,,N,
133,TC_036,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-21,2,TC_036_02,771021 1/2 Weber,00:00-30:37,30:37:00,EK,,N,
134,TC_037,,8mm Cassette,1977-11-20,,TC_037_02,771021 3 Weber / 771120,00:00-09:42,09:41:00,EK,00:00-09:42,Y,
135,TC_037,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-21,3,TC_037_01,771021 3 Weber / 771120,00:00-30:00,30:00:00,EK,,N,
136,TC_038,,8mm Cassette,1977-10-29,,TC_038_01,771029 / 771031 3,00:05-30:06,30:01:00,EK,,N,
137,TC_038,,8mm Cassette,1977-10-31,3,TC_038_02,771029 / 771031 3,00:00-30:08,30:03:00,EK,,N,
138,TC_039,,8mm Cassette,1977-10-31,1,TC_039_01,771031 1/2 Monday. S 2: Bass in Eflat alternate hands,00:00-45:48,45:46:00,EK,00:00-45:48,Y,
139,TC_039,,8mm Cassette,1977-10-31,2,TC_039_02,771031 1/2 Monday. S 2: Bass in Eflat alternate hands,00:00-45:37,45:37:00,EK,,N,
140,TC_040,,8mm Cassette,1977-11-23,2,TC_040_02,771101 1 (Flag tape) / 771123 2,00:00-24:36,24:33:00,EK,,N,
141,TC_040,,8mm Cassette,1977-11-01,,TC_040_01,771101 1 (Flag tape) / 771123 2,00:00-24:42,24:41:00,EK,00:00-24:42,Y,
142,TC_041,,8mm Cassette,1977-11-03,,TC_041_02,771102 1 / 77110203,00:00-30:48,30:46:00,EK,,N,
143,TC_041,,8mm Cassette,1977-11-02,1,TC_041_01,771102 1 / 77110203,00:00-20:04,19:58:00,EK,,N,
144,TC_041,,8mm Cassette,1977-11-02,2,TC_041_01,771102 1 / 77110203,20:05-30:51,10:54:00,EK,20:05-30:51,Y,
145,TC_042,,8mm Cassette,1977-11-15,1,TC_042_02,771106 1/2 Annes grand / 771115 1,00:00-09:42,09:26:00,EK,,N,
146,TC_042,,8mm Cassette,1977-11-15,2,TC_042_02,771106 1/2 Annes grand / 771115 1,09:43-28:12,18:24:00,EK,,N,
147,TC_042,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-11-06,1,TC_042_01,771106 1/2 Annes grand / 771115 1,00:15-16:33,16:10:00,EK,,N,
148,TC_042,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-11-06,2,TC_042_01,771106 1/2 Annes grand / 771115 1,18:09-28:12,10:04:00,EK,,N,
149,TC_043,,8mm Cassette,1977-11-13,,TC_043_02,771110 Rollin Riot / 771113,00:00-25:23,25:17:00,EK 24:30 - 26:00,00:00-25:23,Y,
150,TC_043,,8mm Cassette,1977-11-10,,TC_043_01,771110 Rollin Riot / 771113,00:00-30:53,30:52:00,EK,,N,
151,TC_044,,8mm Cassette,1977-11-14,,TC_044_01,771114 / 771116 2,00:00-46:02,45:47:00,EK,,N,
152,TC_044,,8mm Cassette,1977-11-16,1,TC_044_02,771114 / 771116 2,00:00-45:21,45:20:00,EK,,N,
153,TC_045,,8mm Cassette,Unknown 1,1,TC_045_01,Copy of piano,00:00-39:36,38:32:00,EK talking 25:50 - 26:10,,N,
154,TC_045,,8mm Cassette,Unknown 1,2,TC_045_02,Copy of piano,00:00-24:06,23:37:00,EK,,N,
155,TC_045,,8mm Cassette,Unknown 1,3,TC_045_02,Copy of piano,24:07-45:36,21:25:00,EK,,N,
156,TC_046,,8mm Cassette,1977-11-15,3,TC_046_01,771115 2 PM (part of one side) / 771116 1,00:00-21:23,21:16:00,EK,,N,
157,TC_046,,8mm Cassette,1977-11-16,2,TC_046_01,771115 2 PM (part of one side) / 771116 1,21:24-27:53,06:27:00,EK,,N,
158,TC_046,,8mm Cassette,1977-11-16,3,TC_046_02,771115 2 PM (part of one side) / 771116 1,00:00-00:19,00:18:00,EK,,N,
159,TC_047,,8mm Cassette,1977-11-23,1,TC_047_02,771116 3 / 771123 1,00:00-45:35,45:35:00,EK,,N,
160,TC_047,,8mm Cassette,1977-11-16,4,TC_047_01,771116 3 / 771123 1,00:00-45:10,45:03:00,EK,,N,
161,TC_048,,8mm Cassette,1977-11-29,,TC_048_02,771128 1 / 771129,00:00-31:23,31:23:00,EK,,N,
162,TC_048,,8mm Cassette,1977-11-28,,TC_048_01,771128 1 / 771129,00:00-31:28,31:30:00,EK,,N,
163,TC_049,,8mm Cassette,1977-12-03,,TC_049_02,771130 1 / 771203 / 771205 2,00:00-25:44,25:44:00,EK,00:00-25:44,Y,"Low levels, distortion"
164,TC_049,,8mm Cassette,1977-12-05,1,TC_049_02,771130 1 / 771203 / 771205 2,25:50-31:20,05:29:00,EK,25:50-31:20,Y,"Low levels, distortion"
165,TC_049,,8mm Cassette,1977-11-30,,TC_049_01,771130 1 / 771203 / 771205 2,00:00-31:13,31:13:00,EK,,N,
166,TC_050,,8mm Cassette,1977-12-05,2,TC_050_01,771205 1 / 771206 1,00:12-30:56,30:41:00,EK,,N,
167,TC_050,,8mm Cassette,1977-12-06,,TC_050_02,771205 1 / 771206 1,00:00-30:58,30:57:00,EK,,N,
168,TC_051,,8mm Cassette,1977-12-07,1,TC_051_01,771207 1/2,00:02-31:09,30:49:00,EK,,N,
169,TC_051,,8mm Cassette,1977-12-07,3,TC_051_02,771207 1/2,14:02-17:03,02:54:00,EK,,N,
170,TC_051,,8mm Cassette,1977-12-07,2,TC_051_02,771207 1/2,00:01-14:02,13:54:00,EK,,N,
171,TC_052,,8mm Cassette,1978-01-13,,TC_052_02,771212 1 / 780113,00:00-31:00,30:41:00,EK,,N,
172,TC_052,,8mm Cassette,1977-12-12,,TC_052_01,771212 1 / 780113,00:00-30:55,30:51:00,EK,,N,
173,TC_053,"The Kitchen. New York, New York.",8mm Cassette,1977-12-18,1,TC_053_02,771216 1 / 771218 A,00:18-01:57,01:31:00,EK,,N,
174,TC_053,"The Kitchen. New York, New York.",8mm Cassette,1977-12-18,4,TC_053_02,771216 1 / 771218 A,02:30-06:35,03:57:00,EK,,N,
175,TC_053,,8mm Cassette,1977-12-16,,TC_053_01,771216 1 / 771218 A,00:00-30:38,30:23:00,EK (quality gets better after 8min),,N,"Bad quality, distortion, tape warbling"
176,TC_054,"The Kitchen. New York, New York.",8mm Cassette,1977-12-18,2,TC_054_01,771218 B Tony Plays/The Kitchen Sunday (1 side only) / Music from David,00:00-31:12,31:14:00,EK some drop outs 13:00-15:00,,N,
177,TC_054,"The Kitchen. New York, New York.",8mm Cassette,1977-12-18,3,TC_054_02,771218 B Tony Plays/The Kitchen Sunday (1 side only) / Music from David,00:00-11:28,11:08:00,EK,,N,
178,TC_055,,8mm Cassette,1977-12-26,,TC_055_01,771226 1/2,00:00-30:39,30:24:00,"EK talking 5:00 - 5:35, 20:00 - 21:20",,N,
179,TC_056,,8mm Cassette,1977-12-27,1,TC_056_01,771227 1/2,00:00-30:42,30:37:00,EK,,N,
180,TC_056,,8mm Cassette,1977-12-27,2,TC_056_02,771227 1/2,00:00-30:40,30:31:00,EK,,N,
181,TC_057,,8mm Cassette,1977-12-28,,TC_057_02,77122728 / 771228 2,00:00-45:37,45:32:00,EK,,N,
182,TC_057,,8mm Cassette,"1977-12-27, 1977-12-28",1,TC_057_01,77122728 / 771228 2,00:00-28:40,28:39:00,EK 28:34 - 29:00,00:00-28:40,Y,"Drop outs, distortion, 00:00 - 15:00"
183,TC_058,"The Kitchen. New York, New York.",8mm Cassette,1977-12-29,4,TC_058_02,771229 1/2 Kitchen Piano (pt of s 2 blank)(undated),12:39-17:10,04:18:00,EK,,N,
184,TC_058,"The Kitchen. New York, New York.",8mm Cassette,1977-12-29,3,TC_058_02,771229 1/2 Kitchen Piano (pt of s 2 blank)(undated),00:00-10:05,10:06:00,EK,(talking 08:05-9:30),N,
185,TC_058,"The Kitchen. New York, New York.",8mm Cassette,1977-12-29,2,TC_058_01,771229 1/2 Kitchen Piano (pt of s 2 blank)(undated),10:05-30:48,20:45:00,EK,,N,L channel drop outs/distortion
186,TC_058,"The Kitchen. New York, New York.",8mm Cassette,1977-12-29,1,TC_058_01,771229 1/2 Kitchen Piano (pt of s 2 blank)(undated),00:00-07:56,07:58:00,EK,,N,
187,TC_059,"Tiding Over'. The Kitchen. New York, New York.",8mm Cassette,1977-12-29,7,TC_059_02,"771229 Kitchen: Tiding Over I (Dub from 1/4"") (2 sides)",05:14-31:06,25:54:00,EK,,N,
188,TC_059,"Tiding Over'. The Kitchen. New York, New York.",8mm Cassette,1977-12-29,5,TC_059_01,"771229 Kitchen: Tiding Over I (Dub from 1/4"") (2 sides)",00:00-04:44,04:40:00,"EK silence 4:38-06:10, no fade out",00:00-04:44,Y,
189,TC_059,"Tiding Over'. The Kitchen. New York, New York.",8mm Cassette,1977-12-29,6,TC_059_02,"771229 Kitchen: Tiding Over I (Dub from 1/4"") (2 sides)",00:00-04:52,04:54:00,EK timecode error ends at 4:10,,N,
190,TC_060,"The Kitchen. New York, New York.",8mm Cassette,1977-12-30,1,TC_060_01,771230 1/2 Kitchen Piano,00:00-31:05,31:07:00,EK,,N,
191,TC_060,"The Kitchen. New York, New York.",8mm Cassette,1977-12-30,2,TC_060_02,771230 1/2 Kitchen Piano,00:01-20:05,20:06:00,EK,,N,
192,TC_061,"Tiding Over'. The Kitchen. New York, New York.",8mm Cassette,1977-12-30,3,TC_061_01,"771230 Kitchen: Tiding Over II (Dub from 1/4"") (2 sides)",00:00-31:08,31:10:00,EK silence 10:26 - 10:41,,N,
193,TC_061,"Tiding Over'. The Kitchen. New York, New York.",8mm Cassette,1977-12-30,4,TC_061_02,"771230 Kitchen: Tiding Over II (Dub from 1/4"") (2 sides)",00:00-21:57,21:59:00,"EK silence 5:25 - 6:50, 13:50 - 14:10, 17:00 - 17:38. session ends at 21:25",,N,
194,TC_062,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-01-01,3,TC_062_02,780101 1/2 New Years 78 at Annes,02:14-08:13,06:01:00,EK,,N,
195,TC_062,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-01-01,1,TC_062_01,780101 1/2 New Years 78 at Annes,00:00-30:52,30:54:00,"EK some dropouts on alternating channels throughout, exort as mono?",,N,"Low levels, distortion, 00:00 - 10:00"
196,TC_062,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-01-01,2,TC_062_02,780101 1/2 New Years 78 at Annes,00:00-01:24,01:26:00,EK,,N,
197,TC_063,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-01-01,4,TC_063_01,780101 3 / 78010102,00:00-31:00,31:02:00,EK,,N,
198,TC_063,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-01-01,5,TC_063_02,780101 3 / 78010102,00:00-05:57,05:59:00,EK,,N,
199,TC_063,,8mm Cassette,1978-01-02,,TC_063_02,780101 3 / 78010102,06:06-24:04,18:00:00,EK,,N,
200,TC_064,,8mm Cassette,1978-01-19,,TC_064_02,78010# 3 Days in First Part of Jan 78 / 780119,00:00-28:10,28:06:00,"GMG Silence 23:40-23:52, Silence 26:07-27:10",,N,
201,TC_064,,8mm Cassette,1978-01-Unknown,1,TC_064_01,78010# 3 Days in First Part of Jan 78 / 780119,00:00-10:27,10:18:00,GMG Tape recorder shutting off sound at end,,N,
202,TC_064,,8mm Cassette,1978-01-Unknown,2,TC_064_01,78010# 3 Days in First Part of Jan 78 / 780119,10:27-21:32,10:58:00,GMG,,N,
203,TC_064,,8mm Cassette,1978-01-Unknown,3,TC_064_01,78010# 3 Days in First Part of Jan 78 / 780119,21:34-28:12,06:37:00,GMG,,N,
204,TC_065,,8mm Cassette,1978-01-20,,TC_065_01,780120 / 780121 1/2,00:00-30:53,30:55:00,GMG - Hard to tell because the levels were so low,,N,extreme low levels
205,TC_065,,8mm Cassette,1978-01-21,,TC_065_02,780120 / 780121 1/2,00:00-30:52,30:53:00,GMG - Hard to tell because the levels were so low,,N,extreme low levels
206,TC_066,,8mm Cassette,1978-01-22,1,TC_066_01,780122 1/2,00:01-30:42,30:36:00,GMG,,N,
207,TC_066,,8mm Cassette,1978-01-22,2,TC_066_02,780122 1/2,00:02-30:40,30:39:00,GMG Left channel distorted,,N,
208,TC_067,,8mm Cassette,1978-01-23,1,TC_067_01,780123 1/2 mostly practice,00:00-24:30,24:30:00,"GMG Talking from 24:31-25:36, Warbling from 25:38-26:00",00:00-24:30,Y,
209,TC_067,,8mm Cassette,1978-01-23,2,TC_067_02,780123 1/2 mostly practice,00:00-31:08,31:06:00,GMG Talking 25:20-25:29  ,,N,
210,TC_068,,8mm Cassette,1978-01-24,1,TC_068_01,780124 1/2,00:00-25:08,25:02:00,"GMG Someone knocks on door, so I assumed there was a break after _ CMA",00:00-25:08,Y,
211,TC_068,,8mm Cassette,1978-01-24,3,TC_068_02,780124 1/2,00:00-30:40,30:38:00,GMG,,N,L channel drop out 5:00
212,TC_069,,8mm Cassette,1978-02-06,2,TC_069_02,780206 1/2,00:00-03:39,03:36:00,GMG,,N,
213,TC_069,,8mm Cassette,1978-02-06,1,TC_069_01,780206 1/2,00:03-26:53,26:49:00,"GMG slight pause 14:36-14:40, slight pause, brief talking 26:56-27:11",00:03-26:53,Y,
214,TC_070,"Pacific Film Archive. Berkeley, California.",8mm Cassette,1978-03-02,,TC_070_01,780302 Pacific Film Archive,00:00-27:22,25:40:00,"GMG doesn't start until 00:51, Silence 19:14-20:10,  26:32-27:27:22. These two silent parts are part of a performance?",,N,
215,TC_071,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-18,3,TC_071_02,780318 1/2 Baldwin,00:00-30:56,30:55:00,GMG,,N,L channel drop outs
216,TC_071,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-18,1,TC_071_01,780318 1/2 Baldwin,00:00-27:00,26:49:00,GMG  Click at 15:56,,N,
217,TC_071,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-18,2,TC_071_01,780318 1/2 Baldwin,27:00-30:55,03:53:00,GMG,,N,
218,TC_072,"Conrad family home. Baldwin, Maryland. Steinway piano. With Dan.",8mm Cassette,1978-03-18,4,TC_072_01,780318 3 Tony & Dan / 780319 1,00:01-22:25,22:23:00,"GMG Brief talking at 00:10, doesn't disrupt playing",,N,R channel drop out
219,TC_072,"Conrad family home. Baldwin, Maryland. Steinway piano. With Dan.",8mm Cassette,1978-03-18,5,TC_072_01,780318 3 Tony & Dan / 780319 1,22:30-27:50,05:18:00,GMG,,N,R channel drop out
220,TC_072,"Conrad family home. Baldwin, Maryland. Steinway piano. With Dan.",8mm Cassette,1978-03-18,6,TC_072_01,780318 3 Tony & Dan / 780319 1,27:52-30:58,03:05:00,GMG,,N,R channel drop out
221,TC_072,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-19,1,TC_072_02,780318 3 Tony & Dan / 780319 1,00:00-30:57,30:59:00,GMG,,N,
222,TC_073,"Conrad family home. Baldwin, Maryland. Steinway piano. With Dan.",8mm Cassette,1978-03-19,2,TC_073_01,780319 1/2 Tony & Dan Baldwin. Copy of Dans original.,00:00-30:12,30:08:00,GMG Brief talking 27:55-28:06,,N,R channel missing
223,TC_073,"Conrad family home. Baldwin, Maryland. Steinway piano. With Dan.",8mm Cassette,1978-03-19,3,TC_073_02,780319 1/2 Tony & Dan Baldwin. Copy of Dans original.,00:00-30:09,30:11:00,"GMG 01:14- 01:34, Cuts out/ Brief Talking",,N,
224,TC_074,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-20,,TC_074_02,780319 Baldwin / 780320,00:00-14:03,13:58:00,GMG,,N,
225,TC_074,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-19,4,TC_074_01,780319 Baldwin / 780320,00:00-16:11,16:06:00,"GMG Silence / Dropout 02:36-02:42, Brief pause 14:20-14:41 (seems to be part of the performance)",,N,
226,TC_074,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1978-03-19,5,TC_074_01,780319 Baldwin / 780320,17:15-30:54,13:38:00,"GMG 03:15 - 03:22 Brief pause, faint talking in background.",,N,
227,TC_075,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-03-25,1,TC_075_01,780325 1/2 Annes piano,00:00-12:52,12:44:00,GMG,,N,
228,TC_075,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-03-25,2,TC_075_01,780325 1/2 Annes piano,14:02-17:09,02:27:00,GMG Silence 01:16 - 01:27,,N,
229,TC_075,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-03-25,3,TC_075_01,780325 1/2 Annes piano,17:16-29:52,12:27:00,GMG Brief silence 10:36-10:41,,N,
230,TC_075,"Anne's house. Newton, Massachusetts.",8mm Cassette,1978-03-25,4,TC_075_02,780325 1/2 Annes piano,00:00-15:13,15:11:00,GMG,,N,
231,TC_076,,8mm Cassette,1978-04-26,,TC_076_01,780426,00:00-41:00,40:59:00,GMG 31:06 - 31:12 Session break?,00:00-41:00,Y,L channel missing
232,TC_077,X,8mm Cassette,X,X,X,780607 First half erased by 780608 3 / 780608 3 / 78060708,X,x,,,,
233,TC_078,,8mm Cassette,1978-06-25,1,TC_078_01,780625 1/2,00:00-30:44,30:45:00,GMG 00:53 - 01:02 Brief silence,,N,
234,TC_078,,8mm Cassette,1978-06-25,2,TC_078_02,,00:00-30:44,30:33:00,"GMG Brief silence 13:57 - 14:02 , 14:21 - 14:26 Slight click?, Silence 26:41 - 26:56",,N,
235,TC_079,,8mm Cassette,1978-06-28,1,TC_079_02,780627 / 780628,00:00-14:03,13:50:00,"GMG ""I don't want any business"" 00:00 -  00:24",,N,
236,TC_079,,8mm Cassette,1978-06-28,2,TC_079_02,780627 / 780628,14:05-30:47,16:34:00,GMG Brief silence 11:04 - 11:11,,N,
237,TC_079,,8mm Cassette,1978-06-27,,TC_079_01,780627 / 780628,00:00-30:49,30:44:00,GMG,,N,
238,TC_080,,8mm Cassette,1978-06-29,1,TC_080_01,780629 1/2,00:00-46:14,46:09:00,"GMG 01:00 - 01:07 Brief pause in playing, Left Channel messed up 21:06 - 46:09",,N,
239,TC_080,,8mm Cassette,1978-06-29,2,TC_080_02,780629 1/2,00:00-46:14,46:14:00,"GMG 30:15 - 30:36 brief silence/ rustling, 40:46 - 41:26 Silence",,N,
240,TC_081,,8mm Cassette,1978-07-03,1,TC_081_02,780629 3 Occasional voice / 780703 1,00:00-46:20,46:18:00,GMG Silence 29:58 - 30:20,00:00-46:13,N,
241,TC_081,,8mm Cassette,1978-06-29,3,TC_081_01,780629 3 Occasional voice / 780703 1,00:00-46:20,46:17:00,GMG Break 39:24 -  39:39,00:00-46:20,Y,R channel low level/distorted
242,TC_082,,8mm Cassette,1978-07-03,2,TC_082_01,780703 2/3,00:00-30:45,30:43:00,GMG,,N,
243,TC_082,,8mm Cassette,1978-07-03,3,TC_082_02,780703 2/3,00:00-30:50,30:46:00,GMG,,N,R channel low level
244,TC_083,,8mm Cassette,1978-07-04,1,TC_083_01,780704 / 780709,00:00-28:20,28:16:00,"GMG Silence 28:18 - 28:48 , Brief silence 32:44 - 33:03, Silence/Talking  40:15 - 41:27",00:00-28:20,Y,
245,TC_083,,8mm Cassette,1978-07-09,,TC_083_02,780704 / 780709,00:00-46:20,46:18:00,GMG Silence 22:56 - 23:22,,N,
246,TC_084,,8mm Cassette,1978-07-06,1,TC_084_01,780706 1/2,00:00-30:36,30:35:00,"GMG ""You dont want any culture"" 00:00- 08:09, Silence 20:52 - 21:14, Silence 21:40-22:04, Silence 28:11 - 28:24",,N,
247,TC_084,,8mm Cassette,1978-07-06,2,TC_084_02,780706 1/2,00:00-10:06,09:58:00,GMG,,N,
248,TC_084,,8mm Cassette,1978-07-06,3,TC_084_02,780706 1/2,10:08-30:36,19:44:00,"GMG 04:19 - 4:29 Brief silence, A ""Click"" at 4:46",,N,
249,TC_085,,8mm Cassette,1978-07-11,1,TC_085_01,780711 1/2 green label,00:00-30:38,30:02:00,GMG 02:50 - 03:04 Brief silence,,N,
250,TC_085,,8mm Cassette,1978-07-11,2,TC_085_02,780711 1/2 green label,00:00-30:46,30:42:00,GMG,,N,
251,TC_086,,8mm Cassette,1978-07-11,3,TC_086_01,780711 1/2 yellow label,00:00-30:37,30:35:00,GMG,,N,
252,TC_086,,8mm Cassette,1978-07-11,4,TC_086_02,780711 1/2 yellow label,00:00-30:36,30:36:00,"GMG 07:23 - 07:40 Brief silence, Silence/muttering 18:40 - 18:57",,N,
253,TC_087,,8mm Cassette,1978-07-11,5,TC_087_01,780711 2/3 yellow label,00:00-30:45,30:40:00,GMG 04:13- 04:23 Brief pause,,N,
254,TC_087,,8mm Cassette,1978-07-11,6,TC_087_02,780711 2/3 yellow label,00:00-30:46,30:46:00,GMG 06:42 - 08:12 Tony vocalizing/muttering,,N,
255,TC_088,,8mm Cassette,1978-07-12,1,TC_088_01,780712 1/2,00:00-30:47,30:45:00,GMG,30:47 (cut off),Y,
256,TC_088,,8mm Cassette,1978-07-12,2,TC_088_02,780712 1/2,00:00-30:48,30:49:00,GMG abrupt end,,N,
257,TC_089,,8mm Cassette,1978-07-19,1,TC_089_01,780719 1/2 1 (last section side 1) & 2 / Car:Enter Buffalo(2) 7/18/78,10:11-30:41,20:25:00,GMG 00:54-01:09 Brief pause,,N,
258,TC_089,,8mm Cassette,1978-07-19,2,TC_089_02,780719 1/2 1 (last section side 1) & 2 / Car:Enter Buffalo(2) 7/18/78,00:00-30:39,30:39:00,GMG 19:34 Clicks (it's probably him just banging on stuff?),,N,
259,TC_090,,8mm Cassette,1978-07-19,3,TC_090_01,780719 3 / 780724 1,00:00-30:31,30:26:00,GMG,,N,
260,TC_090,,8mm Cassette,1978-07-24,4,TC_090_02,780719 3 / 780724 1,00:00-30:38,30:40:00,GMG,,N,
